,dataset_label,parking_id,n_obs,mean_occupancy,std_occupancy,iqr_occupancy,q95_occupancy,q99_occupancy,pct_hours_ge_90,mean_abs_hourly_change,cv_occupancy
4,longterm,P Komet,5962,0.7203,0.22,0.2344,0.9531,0.9844,16.5884,0.025,0.3054
1,longterm,P Hoogstraat,8483,0.6832,0.1928,0.22,0.92,0.98,8.7351,0.0277,0.2821
6,longterm,P Tinel,302,0.5101,0.3421,0.7628,0.9487,1.0,21.5232,0.1014,0.6707
2,longterm,P Kathedraal,8727,0.3806,0.1091,0.1167,0.5667,0.679,0.0,0.0233,0.2865
0,longterm,P Grote Markt,8471,0.3794,0.2466,0.4,0.85,0.965,3.8956,0.1311,0.6499
3,longterm,P Keerdok,8750,0.2843,0.096,0.11,0.48,0.55,0.0,0.0188,0.3376
5,longterm,P Maarten,5948,0.1892,0.0895,0.087,0.3913,0.4348,0.0,0.0107,0.4729
8,shortterm,P Grote Markt,36649,0.4848,0.3131,0.5852,1.0,1.0,14.1368,0.0978,0.6458
16,shortterm,P Veemarkt,35370,0.4831,0.2761,0.4343,0.9495,1.0,8.4224,0.0873,0.5714
10,shortterm,P Kathedraal,22179,0.4814,0.3449,0.6714,1.0,1.0,19.6718,0.1004,0.7164
15,shortterm,P Tinel,37574,0.463,0.2689,0.3787,0.9667,1.0,8.4047,0.0695,0.5809
13,shortterm,P Lamot,35606,0.4625,0.2204,0.3277,0.8638,0.9489,3.5921,0.0453,0.4765
11,shortterm,P Keerdok,26339,0.3891,0.1795,0.2764,0.7043,0.8438,0.4328,0.0227,0.4612
9,shortterm,P Hoogstraat,22483,0.2924,0.2294,0.3,0.78,1.0,2.8955,0.0437,0.7843
7,shortterm,P Bruul,40196,0.249,0.2221,0.3298,0.6901,0.9298,1.4205,0.0301,0.8917
12,shortterm,P Komet,12655,0.2411,0.1675,0.2,0.55,0.7833,0.1896,0.0182,0.6947
14,shortterm,P Maarten,15473,0.0971,0.1012,0.175,0.2917,0.3417,0.0,0.0092,1.0422
